Subject,Start Date,Start Time,End Date,End Time,All day event,Location,Description
ENEOS,2025-10-18,14:00,2025-10-18,16:00,FALSE,岸和田市総合体育館,AWAY
ENEOS,2025-10-19,14:00,2025-10-19,16:00,FALSE,岸和田市総合体育館,AWAY
富士通RedWave,2025-10-25,14:00,2025-10-25,16:00,FALSE,スカイアリーナ座間,AWAY
富士通RedWave,2025-10-26,14:00,2025-10-26,16:00,FALSE,スカイアリーナ座間,AWAY
アイシンWings,2025-11-01,14:00,2025-11-01,16:00,FALSE,草薙総合運動場体育館,HOME
アイシンWings,2025-11-02,14:00,2025-11-02,16:00,FALSE,草薙総合運動場体育館,HOME
トヨタANTELOPES,2025-11-08,14:00,2025-11-08,16:00,FALSE,川越運動公園総合体育館,HOME
トヨタANTELOPES,2025-11-09,14:00,2025-11-09,16:00,FALSE,川越運動公園総合体育館,HOME
DENSOIris,2025-11-15,14:00,2025-11-15,16:00,FALSE,刈谷市体育館,AWAY
DENSOIris,2025-11-16,14:00,2025-11-16,16:00,FALSE,刈谷市体育館,AWAY
トヨタ紡織,2025-11-22,14:00,2025-11-22,16:00,FALSE,ジェイテクトアリーナ奈良（奈良県立橿原体育館）,HOME
トヨタ紡織,2025-11-23,14:00,2025-11-23,16:00,FALSE,ジェイテクトアリーナ奈良（奈良県立橿原体育館）,HOME
東京羽田Vickies,2025-11-29,14:00,2025-11-29,16:00,FALSE,未定,HOME
東京羽田Vickies,2025-11-30,14:00,2025-11-30,16:00,FALSE,未定,HOME
ENEOS,2025-12-06,14:00,2025-12-06,16:00,FALSE,富士市総合体育館,HOME
ENEOS,2025-12-07,14:00,2025-12-07,16:00,FALSE,富士市総合体育館,HOME
富士通RedWave,2025-12-13,14:00,2025-12-13,16:00,FALSE,大浜だいしんアリーナ,HOME
富士通RedWave,2025-12-14,14:00,2025-12-14,16:00,FALSE,大浜だいしんアリーナ,HOME
アイシンWings,2025-12-20,14:00,2025-12-20,16:00,FALSE,東祥アリーナ安城,AWAY
アイシンWings,2025-12-21,14:00,2025-12-21,16:00,FALSE,東祥アリーナ安城,AWAY
トヨタANTELOPES,2025-12-27,14:00,2025-12-27,16:00,FALSE,鳥取県民体育館／長崎県立総合体育館,AWAY
トヨタANTELOPES,2025-12-28,14:00,2025-12-28,16:00,FALSE,鳥取県民体育館／長崎県立総合体育館,AWAY
DENSOIris,2026-01-24,14:00,2026-01-24,16:00,FALSE,クラブズ武道スポーツセンター,HOME
DENSOIris,2026-01-25,14:00,2026-01-25,16:00,FALSE,クラブズ武道スポーツセンター,HOME
トヨタ紡織,2026-01-31,14:00,2026-01-31,16:00,FALSE,春日井市総合体育館,AWAY
トヨタ紡織,2026-02-01,14:00,2026-02-01,16:00,FALSE,春日井市総合体育館,AWAY
東京羽田Vickies,2026-02-07,14:00,2026-02-07,16:00,FALSE,大田区総合体育館,AWAY
東京羽田Vickies,2026-02-08,14:00,2026-02-08,16:00,FALSE,大田区総合体育館,AWAY